Column1;hidden layers;batch size;gamma;learning rate;replay_memory;strategy;mean_reward;std_reward
180;[128, 128, 128];32;0.99;0.0001;200;0;1.8290000000000002;0.4100663902887488
181;[128, 128, 128];32;0.99;0.0001;2000;0;1.7395;0.31587136974126384
182;[128, 128, 128];32;0.99;0.0001;20000;0;1.907;0.22578505018908784
183;[128, 128, 128];32;0.99;0.001;200;0;1.7310000000000003;0.24154364684945315
184;[128, 128, 128];32;0.99;0.001;2000;0;1.7035;0.3975274274255243
185;[128, 128, 128];32;0.99;0.001;20000;0;1.8605;0.3296416404386908
186;[128, 128, 128];32;0.99;0.01;200;0;2.0165;0.3985184367685446
187;[128, 128, 128];32;0.99;0.01;2000;0;1.8585;0.36591627761309303
188;[128, 128, 128];32;0.99;0.01;20000;0;1.8030000000000002;0.46121939826218633
189;[128, 128, 128];32;0.99;0.1;200;0;1.7525;0.4010074119569917
190;[128, 128, 128];32;0.99;0.1;2000;0;1.7945;0.3720621961148132
191;[128, 128, 128];32;0.99;0.1;20000;0;1.8889999999999998;0.4476221124515136
192;[128, 128, 128];64;0.9;0.0001;200;0;1.638;0.226276625198254
193;[128, 128, 128];64;0.9;0.0001;2000;0;1.8;0.2840872322994392
194;[128, 128, 128];64;0.9;0.0001;20000;0;1.762;0.41330779490995984
195;[128, 128, 128];64;0.9;0.001;200;0;1.7870000000000001;0.2971269837030027
196;[128, 128, 128];64;0.9;0.001;2000;0;1.7665;0.3612866667281753
197;[128, 128, 128];64;0.9;0.001;20000;0;1.8765;0.4075267544046103
198;[128, 128, 128];64;0.9;0.01;200;0;1.8610000000000002;0.40231828196093694
199;[128, 128, 128];64;0.9;0.01;2000;0;1.8135;0.2681837056944362
200;[128, 128, 128];64;0.9;0.01;20000;0;1.937;0.27368067361637194
201;[128, 128, 128];64;0.9;0.1;200;0;1.677;0.3658263097275658
202;[128, 128, 128];64;0.9;0.1;2000;0;1.8329999999999997;0.2104122936839322
203;[128, 128, 128];64;0.9;0.1;20000;0;1.752;0.3916148901947195
204;[128, 128, 128];64;0.99;0.0001;200;0;1.7685;0.32459419108925663
205;[128, 128, 128];64;0.99;0.0001;2000;0;1.7560000000000002;0.26461502434879075
206;[128, 128, 128];64;0.99;0.0001;20000;0;1.7925;0.3098140123077429
207;[128, 128, 128];64;0.99;0.001;200;0;1.9315000000000002;0.34782698444932525
208;[128, 128, 128];64;0.99;0.001;2000;0;1.893;0.23545700244418297
209;[128, 128, 128];64;0.99;0.001;20000;0;1.7525;0.40957464385492537
210;[128, 128, 128];64;0.99;0.01;200;0;1.937;0.2321421978012615
211;[128, 128, 128];64;0.99;0.01;2000;0;1.927;0.23772299472752362
212;[128, 128, 128];64;0.99;0.01;20000;0;1.6465;0.40189170735963736
213;[128, 128, 128];64;0.99;0.1;200;0;1.7675;0.37757449596073095
214;[128, 128, 128];64;0.99;0.1;2000;0;1.6975000000000002;0.27085512732824535
215;[128, 128, 128];64;0.99;0.1;20000;0;1.6634999999999998;0.5781053825500444
