Column1;hidden layers;batch size;gamma;learning rate;replay_memory;strategy;mean_reward;std_reward
152;[128, 128, 128];16;0.9;0.01;20000;0;0.8019999999999999;0.29976101592212867
153;[128, 128, 128];16;0.9;0.1;200;0;0.7140000000000001;0.13399419556251102
154;[128, 128, 128];16;0.9;0.1;2000;0;0.7455;0.18825883482293437
155;[128, 128, 128];16;0.9;0.1;20000;0;0.762;0.19872090982078355
156;[128, 128, 128];16;0.99;0.0001;200;0;0.9015000000000001;0.1707833260141178
157;[128, 128, 128];16;0.99;0.0001;2000;0;0.7849999999999999;0.21652559509982494
158;[128, 128, 128];16;0.99;0.0001;20000;0;0.7645000000000001;0.2456900712505719
159;[128, 128, 128];16;0.99;0.001;200;0;0.7174999999999999;0.21707973445513312
160;[128, 128, 128];16;0.99;0.001;2000;0;0.8194999999999999;0.2786121358128935
161;[128, 128, 128];16;0.99;0.001;20000;0;0.6735;0.184165535441473
162;[128, 128, 128];16;0.99;0.01;200;0;0.7460000000000001;0.25626375301846943
163;[128, 128, 128];16;0.99;0.01;2000;0;0.7490000000000001;0.3230393852836593
164;[128, 128, 128];16;0.99;0.01;20000;0;0.7085;0.3222667114880675
165;[128, 128, 128];16;0.99;0.1;200;0;0.8049999999999999;0.2102247474595806
166;[128, 128, 128];16;0.99;0.1;2000;0;0.8724999999999999;0.22477457843606585
167;[128, 128, 128];16;0.99;0.1;20000;0;0.7619999999999999;0.3116907299088491
168;[128, 128, 128];32;0.9;0.0001;200;0;0.6465000000000001;0.2767274029718697
169;[128, 128, 128];32;0.9;0.0001;2000;0;0.8575000000000002;0.2999745359563412
170;[128, 128, 128];32;0.9;0.0001;20000;0;0.893;0.3423870454454854
171;[128, 128, 128];32;0.9;0.001;200;0;0.7125;0.2589857353429163
172;[128, 128, 128];32;0.9;0.001;2000;0;0.726;0.28382114869129194
173;[128, 128, 128];32;0.9;0.001;20000;0;0.7889999999999999;0.31952916750883464
174;[128, 128, 128];32;0.9;0.01;200;0;0.7945;0.31877761318302555
175;[128, 128, 128];32;0.9;0.01;2000;0;0.7785;0.31395372978266156
176;[128, 128, 128];32;0.9;0.01;20000;0;0.9055000000000002;0.2545415268455992
177;[128, 128, 128];32;0.9;0.1;200;0;0.6355000000000001;0.19956132446499297
178;[128, 128, 128];32;0.9;0.1;2000;0;0.7489999999999999;0.22474429914905517
179;[128, 128, 128];32;0.9;0.1;20000;0;0.748;0.2966310840084026
180;[128, 128, 128];32;0.99;0.0001;200;0;0.8285;0.2104895088438693
181;[128, 128, 128];32;0.99;0.0001;2000;0;0.8375;0.26482960979131887
182;[128, 128, 128];32;0.99;0.0001;20000;0;0.7424999999999999;0.3338433598094904
183;[128, 128, 128];32;0.99;0.001;200;0;0.8345;0.3157570268418424
184;[128, 128, 128];32;0.99;0.001;2000;0;0.71;0.15765644787180624
185;[128, 128, 128];32;0.99;0.001;20000;0;0.7485;0.21753735311435599
186;[128, 128, 128];32;0.99;0.01;200;0;0.8089999999999999;0.20322128060045505
187;[128, 128, 128];32;0.99;0.01;2000;0;0.7935;0.20743205045401142
188;[128, 128, 128];32;0.99;0.01;20000;0;0.669;0.20699973161549964
189;[128, 128, 128];32;0.99;0.1;200;0;0.742;0.2882340869655928
190;[128, 128, 128];32;0.99;0.1;2000;0;0.7005;0.2605384381963203
191;[128, 128, 128];32;0.99;0.1;20000;0;0.7169999999999999;0.30268428729912256
192;[128, 128, 128];64;0.9;0.0001;200;0;0.7244999999999999;0.28723248423533154
193;[128, 128, 128];64;0.9;0.0001;2000;0;0.7430000000000001;0.32132710920666363
194;[128, 128, 128];64;0.9;0.0001;20000;0;0.8195;0.24180398397600208
195;[128, 128, 128];64;0.9;0.001;200;0;0.722;0.22149993729620382
196;[128, 128, 128];64;0.9;0.001;2000;0;0.796;0.2482359988219096
197;[128, 128, 128];64;0.9;0.001;20000;0;0.7700000000000001;0.1825285365817265
198;[128, 128, 128];64;0.9;0.01;200;0;0.7170000000000001;0.2540144352853462
199;[128, 128, 128];64;0.9;0.01;2000;0;0.825;0.2916619047230314
200;[128, 128, 128];64;0.9;0.01;20000;0;0.7879999999999999;0.23465340871639223
201;[128, 128, 128];64;0.9;0.1;200;0;0.7120000000000001;0.3520511326497899
